,ID,rank2018,team2018,batting_average2018,numOfGames2018,plate_appearances2018,atbat2018,hits2018,HRｓ2018,RBI2018,steal2018,walks2018,deadball2018,strike_out2018,sacrifice_bunt2018,double_play2018,On_base_percentage2018,Slugging_percentage2018,OPS2018,RC272018,XR272018,rank2017,team2017,batting_average2017,numOfGames2017,plate_appearances2017,atbat2017,hits2017,HRｓ2017,RBI2017,steal2017,walks2017,deadball2017,strike_out2017,sacrifice_bunt2017,double_play2017,On_base_percentage2017,Slugging_percentage2017,OPS2017,RC272017,XR272017,rank2016,team2016,batting_average2016,numOfGames2016,plate_appearances2016,atbat2016,hits2016,HRｓ2016,RBI2016,steal2016,walks2016,deadball2016,strike_out2016,sacrifice_bunt2016,double_play2016,On_base_percentage2016,Slugging_percentage2016,OPS2016,RC272016,XR272016,rank2015,team2015,batting_average2015,numOfGames2015,plate_appearances2015,atbat2015,hits2015,HRｓ2015,RBI2015,steal2015,walks2015,deadball2015,strike_out2015,sacrifice_bunt2015,double_play2015,On_base_percentage2015,Slugging_percentage2015,OPS2015,RC272015,XR272015,rank2014,team2014,batting_average2014,numOfGames2014,plate_appearances2014,atbat2014,hits2014,HRｓ2014,RBI2014,steal2014,walks2014,deadball2014,strike_out2014,sacrifice_bunt2014,double_play2014,On_base_percentage2014,Slugging_percentage2014,OPS2014,RC272014,XR272014,player_name
318,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,DeNA,0.245,13.0,56.0,49.0,12.0,0.0,10.0,0.0,6.0,0.0,10.0,0.0,3.0,0.321,0.28600000000000003,0.607,2.69,2.85,中村 紀洋
319,319,81.0,Doragons,0.268,52.0,84.0,82.0,22.0,1.0,3.0,0.0,1.0,0.0,13.0,1.0,2.0,0.277,0.378,0.655,2.95,2.81,123.0,Doragons,0.249,85.0,267.0,249.0,62.0,0.0,8.0,5.0,13.0,0.0,41.0,5.0,8.0,0.28600000000000003,0.281,0.5670000000000001,2.51,2.47,136.0,Doragons,0.246,93.0,321.0,289.0,71.0,1.0,16.0,13.0,15.0,3.0,39.0,14.0,9.0,0.29,0.29100000000000004,0.581,2.8,2.74,126.0,Doragons,0.251,97.0,238.0,211.0,53.0,0.0,13.0,9.0,20.0,0.0,31.0,6.0,1.0,0.315,0.299,0.613,3.7,3.65,100.0,Doragons,0.268,109.0,471.0,395.0,106.0,1.0,21.0,17.0,39.0,3.0,63.0,33.0,7.0,0.338,0.329,0.667,4.07,3.94,荒木 雅博
320,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.0,Softbank,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.87,-2.59,4.0,Softbank,0.5,9.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,1.0,12.17,10.94,225.0,Softbank,0.208,38.0,61.0,48.0,10.0,0.0,6.0,1.0,9.0,1.0,15.0,3.0,0.0,0.345,0.25,0.595,3.32,3.34,金子 圭輔
321,321,36.0,Fighters,0.295,67.0,124.0,105.0,31.0,0.0,8.0,0.0,18.0,0.0,14.0,1.0,0.0,0.398,0.324,0.722,5.55,5.38,103.0,Fighters,0.252,107.0,349.0,314.0,79.0,2.0,18.0,11.0,35.0,0.0,36.0,0.0,4.0,0.327,0.29600000000000004,0.623,3.66,3.65,77.0,Fighters,0.272,143.0,626.0,541.0,147.0,2.0,53.0,22.0,69.0,9.0,56.0,3.0,4.0,0.361,0.312,0.674,4.64,4.63,48.0,Fighters,0.284,134.0,596.0,532.0,151.0,4.0,66.0,9.0,57.0,1.0,58.0,5.0,9.0,0.354,0.35200000000000004,0.705,4.71,4.58,,,,,,,,,,,,,,,,,,,,,田中 賢介
322,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,Softbank,0.237,81.0,175.0,156.0,37.0,1.0,11.0,4.0,12.0,0.0,43.0,7.0,2.0,0.292,0.28800000000000003,0.58,2.74,2.76,39.0,Softbank,0.3,12.0,12.0,10.0,3.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.364,0.5,0.8640000000000001,6.26,5.6,高田 知季
323,323,290.0,Lions,0.0,25.0,10.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.1,0.0,0.1,-1.35,-0.96,,,,,,,,,,,,,,,,,,,,,260.0,Lions,0.16699999999999998,28.0,9.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.28600000000000003,0.16699999999999998,0.452,0.22,0.44,286.0,Lions,0.111,38.0,41.0,36.0,4.0,0.0,3.0,1.0,3.0,0.0,6.0,1.0,0.0,0.175,0.111,0.28600000000000003,0.03,0.54,211.0,Lions,0.217,46.0,140.0,115.0,25.0,0.0,6.0,1.0,19.0,0.0,29.0,6.0,1.0,0.328,0.27,0.598,3.21,3.25,熊代 聖人
324,324,290.0,Doragons,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-2.43,179.0,Doragons,0.217,53.0,100.0,92.0,20.0,2.0,11.0,0.0,5.0,0.0,23.0,2.0,0.0,0.255,0.315,0.57,2.54,2.74,207.0,Doragons,0.207,52.0,91.0,82.0,17.0,0.0,6.0,1.0,8.0,0.0,16.0,1.0,4.0,0.278,0.232,0.509,1.64,1.7,298.0,Doragons,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,-2.43,184.0,Doragons,0.237,59.0,131.0,118.0,28.0,0.0,10.0,0.0,6.0,0.0,23.0,6.0,0.0,0.272,0.364,0.636,3.28,3.15,谷 哲也
325,325,,,,,,,,,,,,,,,,,,,,,255.0,Giants,0.158,29.0,40.0,38.0,6.0,0.0,3.0,0.0,1.0,0.0,9.0,0.0,1.0,0.175,0.184,0.359,0.1,0.48,145.0,Giants,0.244,37.0,48.0,41.0,10.0,0.0,4.0,0.0,6.0,0.0,10.0,0.0,0.0,0.333,0.293,0.626,3.98,4.13,18.0,Giants,0.313,40.0,114.0,99.0,31.0,4.0,17.0,1.0,12.0,0.0,16.0,2.0,1.0,0.384,0.505,0.889,7.3,7.16,142.0,Yakult,0.25,58.0,207.0,192.0,48.0,2.0,21.0,0.0,9.0,2.0,31.0,2.0,5.0,0.28800000000000003,0.32299999999999995,0.611,2.97,3.01,相川 亮二
326,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,Carp,0.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.81,-2.52,高橋 大樹
327,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,Lions,0.0,3.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.091,0.0,0.091,-2.57,-2.21,石川 貢
328,328,145.0,Orix,0.233,74.0,289.0,266.0,62.0,5.0,22.0,3.0,15.0,3.0,53.0,4.0,1.0,0.281,0.3720000000000001,0.653,3.61,3.59,235.0,Orix,0.182,10.0,26.0,22.0,4.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,1.0,0.308,0.227,0.535,0.49,0.71,299.0,Orix,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-2.86,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宗 佑磨
329,329,257.0,Carp,0.14300000000000002,10.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.25,0.14300000000000002,0.393,-0.5,-0.35,8.0,Carp,0.375,33.0,50.0,48.0,18.0,1.0,13.0,0.0,1.0,0.0,15.0,1.0,2.0,0.388,0.521,0.909,6.86,6.25,10.0,Carp,0.333,27.0,22.0,21.0,7.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.0,0.364,0.524,0.887,7.43,6.75,25.0,Carp,0.3,7.0,10.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.4,0.7,4.59,4.17,250.0,Carp,0.192,39.0,55.0,52.0,10.0,2.0,10.0,0.0,2.0,0.0,10.0,0.0,3.0,0.218,0.34600000000000003,0.564,1.67,2.05,岩本 貴裕
330,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,DeNA,0.258,139.0,525.0,465.0,120.0,13.0,56.0,0.0,43.0,12.0,62.0,0.0,12.0,0.333,0.391,0.725,4.56,4.6,134.0,DeNA,0.255,139.0,510.0,451.0,115.0,17.0,52.0,0.0,43.0,11.0,66.0,0.0,20.0,0.331,0.4370000000000001,0.768,4.6,4.62,バルディリス
331,331,204.0,DeNA,0.204,73.0,109.0,93.0,19.0,0.0,7.0,3.0,12.0,0.0,22.0,2.0,0.0,0.29,0.226,0.516,2.18,2.5,227.0,DeNA,0.19,83.0,66.0,63.0,12.0,2.0,3.0,0.0,1.0,1.0,13.0,1.0,0.0,0.215,0.333,0.5489999999999999,2.26,2.37,81.0,DeNA,0.27,55.0,124.0,115.0,31.0,1.0,8.0,3.0,7.0,1.0,28.0,1.0,2.0,0.317,0.374,0.691,4.32,4.1,179.0,DeNA,0.226,52.0,138.0,124.0,28.0,3.0,10.0,2.0,9.0,0.0,25.0,4.0,0.0,0.276,0.339,0.615,2.99,3.19,3.0,DeNA,0.5,6.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,38.4,36.45,乙坂 智
332,332,98.0,DeNA,0.261,127.0,421.0,379.0,99.0,9.0,26.0,17.0,32.0,3.0,71.0,7.0,3.0,0.324,0.422,0.746,5.08,4.91,71.0,DeNA,0.269,143.0,664.0,598.0,161.0,13.0,52.0,10.0,45.0,11.0,116.0,10.0,8.0,0.332,0.415,0.747,4.68,4.54,56.0,DeNA,0.284,133.0,522.0,462.0,131.0,11.0,49.0,19.0,38.0,14.0,93.0,8.0,5.0,0.35600000000000004,0.413,0.769,5.28,5.13,244.0,DeNA,0.184,60.0,116.0,103.0,19.0,1.0,5.0,1.0,5.0,0.0,26.0,8.0,1.0,0.222,0.272,0.494,1.53,1.61,126.0,DeNA,0.257,53.0,169.0,144.0,37.0,1.0,13.0,4.0,15.0,2.0,32.0,8.0,5.0,0.335,0.354,0.69,3.88,3.75,桑原 将志
333,333,,,,,,,,,,,,,,,,,,,,,289.0,Doragons,0.091,39.0,83.0,66.0,6.0,0.0,1.0,0.0,9.0,2.0,16.0,5.0,1.0,0.218,0.091,0.309,0.15,0.53,98.0,Doragons,0.26,104.0,311.0,269.0,70.0,3.0,27.0,1.0,30.0,3.0,60.0,8.0,8.0,0.34,0.35700000000000004,0.6970000000000001,4.01,3.95,245.0,Doragons,0.183,64.0,161.0,153.0,28.0,3.0,17.0,1.0,3.0,2.0,33.0,3.0,3.0,0.209,0.261,0.47,1.18,1.32,,,,,,,,,,,,,,,,,,,,,杉山 翔大
334,334,261.0,Doragons,0.136,17.0,22.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.136,0.136,0.273,-0.65,-0.44,54.0,Doragons,0.277,56.0,129.0,119.0,33.0,4.0,18.0,0.0,6.0,3.0,38.0,1.0,2.0,0.328,0.4370000000000001,0.765,5.04,4.86,234.0,Doragons,0.19,14.0,21.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.19,0.28600000000000003,0.476,1.42,1.35,234.0,Doragons,0.194,30.0,32.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.194,0.194,0.387,0.65,0.77,142.0,Doragons,0.25,52.0,102.0,96.0,24.0,2.0,6.0,1.0,2.0,2.0,27.0,2.0,3.0,0.28,0.385,0.665,3.36,3.24,松井 佑介
335,335,102.0,Yakult,0.259,97.0,334.0,297.0,77.0,3.0,31.0,1.0,32.0,3.0,37.0,1.0,11.0,0.336,0.327,0.6629999999999999,3.74,3.71,,,,,,,,,,,,,,,,,,,,,28.0,Yakult,0.302,103.0,458.0,420.0,127.0,1.0,32.0,3.0,34.0,1.0,31.0,1.0,13.0,0.354,0.3670000000000001,0.721,4.72,4.51,8.0,Yakult,0.336,143.0,632.0,581.0,195.0,8.0,57.0,4.0,43.0,3.0,72.0,2.0,15.0,0.383,0.439,0.8220000000000001,6.2,5.85,34.0,Yakult,0.305,142.0,637.0,580.0,177.0,10.0,69.0,2.0,43.0,3.0,62.0,8.0,10.0,0.355,0.421,0.775,5.44,5.23,川端 慎吾
336,336,254.0,Lotte,0.151,17.0,60.0,53.0,8.0,1.0,7.0,0.0,7.0,0.0,20.0,0.0,0.0,0.25,0.264,0.514,2.09,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安田 尚憲
