ID,rank2018,player_name2018,team2018,batting_average2018,numOfGames2018,plate_appearances2018,atbat2018,hits2018,HRｓ2018,RBI2018,盗塁2018,walks2018,deadball2018,strike_out2018,sacrifice_bunt2018,double_play2018,On_base_percentage2018,Slugging_percentage2018,OPS2018,RC272018,XR272018,rank2017,player_name2017,team2017,batting_average2017,numOfGames2017,plate_appearances2017,atbat2017,hits2017,HRｓ2017,RBI2017,盗塁2017,walks2017,deadball2017,strike_out2017,sacrifice_bunt2017,double_play2017,On_base_percentage2017,Slugging_percentage2017,OPS2017,RC272017,XR272017,rank2016,player_name2016,team2016,batting_average2016,numOfGames2016,plate_appearances2016,atbat2016,hits2016,HRｓ2016,RBI2016,盗塁2016,walks2016,deadball2016,strike_out2016,sacrifice_bunt2016,double_play2016,On_base_percentage2016,Slugging_percentage2016,OPS2016,RC272016,XR272016,rank2015,player_name2015,team2015,batting_average2015,numOfGames2015,plate_appearances2015,atbat2015,hits2015,HRｓ2015,RBI2015,盗塁2015,walks2015,deadball2015,strike_out2015,sacrifice_bunt2015,double_play2015,On_base_percentage2015,Slugging_percentage2015,OPS2015,RC272015,XR272015,rank2014,player_name2014,team2014,batting_average2014,numOfGames2014,plate_appearances2014,atbat2014,hits2014,HRｓ2014,RBI2014,盗塁2014,walks2014,deadball2014,strike_out2014,sacrifice_bunt2014,double_play2014,On_base_percentage2014,Slugging_percentage2014,OPS2014,RC272014,XR272014
334,261.0,松井　佑介,中日,0.136,17.0,22.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.136,0.136,0.273,-0.65,-0.44,54.0,松井　佑介,中日,0.27699999999999997,56.0,129.0,119.0,33.0,4.0,18.0,0.0,6.0,3.0,38.0,1.0,2.0,0.32799999999999996,0.43700000000000006,0.765,5.04,4.86,234.0,松井　佑介,中日,0.19,14.0,21.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.19,0.28600000000000003,0.47600000000000003,1.42,1.35,234.0,松井　佑介,中日,0.19399999999999998,30.0,32.0,31.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.19399999999999998,0.19399999999999998,0.387,0.65,0.77,142.0,松井　佑介,中日,0.25,52.0,102.0,96.0,24.0,2.0,6.0,1.0,2.0,2.0,27.0,2.0,3.0,0.28,0.385,0.665,3.36,3.24
335,102.0,川端　慎吾,ヤクルト,0.259,97.0,334.0,297.0,77.0,3.0,31.0,1.0,32.0,3.0,37.0,1.0,11.0,0.336,0.327,0.6629999999999999,3.74,3.71,,,,,,,,,,,,,,,,,,,,,,28.0,川端　慎吾,ヤクルト,0.302,103.0,458.0,420.0,127.0,1.0,32.0,3.0,34.0,1.0,31.0,1.0,13.0,0.354,0.36700000000000005,0.721,4.72,4.51,8.0,川端　慎吾,ヤクルト,0.336,143.0,632.0,581.0,195.0,8.0,57.0,4.0,43.0,3.0,72.0,2.0,15.0,0.38299999999999995,0.439,0.8220000000000001,6.20,5.85,34.0,川端　慎吾,ヤクルト,0.305,142.0,637.0,580.0,177.0,10.0,69.0,2.0,43.0,3.0,62.0,8.0,10.0,0.355,0.42100000000000004,0.775,5.44,5.23
336,254.0,安田　尚憲,ロッテ,0.151,17.0,60.0,53.0,8.0,1.0,7.0,0.0,7.0,0.0,20.0,0.0,0.0,0.25,0.264,0.514,2.09,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,290.0,姫野　優也,日本ハム,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.2,0.0,0.2,-2.46,-2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,197.0,小谷野　栄一,オリックス,0.209,70.0,258.0,230.0,48.0,1.0,17.0,0.0,22.0,2.0,41.0,4.0,4.0,0.28300000000000003,0.261,0.544,2.38,2.41,54.0,小谷野　栄一,オリックス,0.27699999999999997,130.0,506.0,470.0,130.0,6.0,47.0,0.0,28.0,3.0,60.0,3.0,13.0,0.32,0.349,0.669,3.81,3.75,132.0,小谷野　栄一,オリックス,0.249,50.0,189.0,177.0,44.0,4.0,13.0,1.0,3.0,1.0,30.0,8.0,3.0,0.265,0.35,0.615,2.95,2.93,31.0,小谷野　栄一,オリックス,0.295,56.0,206.0,183.0,54.0,4.0,22.0,0.0,13.0,3.0,22.0,5.0,7.0,0.348,0.41,0.758,4.64,4.56,46.0,小谷野　栄一,日本ハム,0.29600000000000004,84.0,274.0,243.0,72.0,4.0,29.0,0.0,22.0,3.0,40.0,5.0,4.0,0.361,0.40299999999999997,0.764,5.29,5.09
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,アンダーソン,巨人,0.25,3.0,12.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.25,0.25,0.5,1.94,1.98,121.0,アンダーソン,巨人,0.252,83.0,260.0,234.0,59.0,7.0,31.0,1.0,21.0,5.0,37.0,0.0,5.0,0.327,0.402,0.7290000000000001,4.54,4.46,15.0,アンダーソン,巨人,0.319,87.0,325.0,295.0,94.0,15.0,50.0,1.0,25.0,5.0,44.0,0.0,4.0,0.382,0.515,0.897,7.35,7.09
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.0,ロマック,DeNA,0.113,30.0,85.0,71.0,8.0,0.0,2.0,0.0,12.0,1.0,30.0,0.0,2.0,0.247,0.127,0.374,0.55,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,26.0,浅村　栄斗,西武,0.31,143.0,640.0,565.0,175.0,32.0,127.0,4.0,68.0,2.0,105.0,0.0,18.0,0.38299999999999995,0.527,0.91,7.05,6.92,38.0,浅村　栄斗,西武,0.29100000000000004,143.0,633.0,574.0,167.0,19.0,99.0,5.0,44.0,8.0,96.0,1.0,17.0,0.34700000000000003,0.45299999999999996,0.799,5.47,5.39,21.0,浅村　栄斗,西武,0.309,143.0,611.0,557.0,172.0,24.0,82.0,8.0,38.0,7.0,108.0,3.0,18.0,0.35700000000000004,0.51,0.867,6.10,5.97,82.0,浅村　栄斗,西武,0.27,141.0,627.0,537.0,145.0,13.0,81.0,12.0,69.0,12.0,136.0,2.0,13.0,0.36200000000000004,0.385,0.747,4.91,5.00,88.0,浅村　栄斗,西武,0.273,118.0,501.0,440.0,120.0,14.0,55.0,3.0,47.0,6.0,100.0,0.0,8.0,0.345,0.41600000000000004,0.7609999999999999,5.04,5.15
342,106.0,栗山　巧,西武,0.256,114.0,363.0,305.0,78.0,8.0,52.0,1.0,52.0,3.0,78.0,0.0,5.0,0.366,0.4,0.7659999999999999,5.52,5.51,103.0,栗山　巧,西武,0.252,116.0,374.0,333.0,84.0,9.0,46.0,0.0,27.0,3.0,64.0,4.0,10.0,0.308,0.37200000000000005,0.68,3.76,3.97,63.0,栗山　巧,西武,0.27899999999999997,135.0,569.0,477.0,133.0,3.0,41.0,0.0,83.0,6.0,87.0,0.0,9.0,0.39,0.369,0.759,5.70,5.57,89.0,栗山　巧,西武,0.268,142.0,622.0,533.0,143.0,10.0,42.0,3.0,72.0,5.0,88.0,8.0,15.0,0.358,0.371,0.73,4.75,4.73,58.0,栗山　巧,西武,0.28800000000000003,144.0,642.0,532.0,153.0,3.0,61.0,3.0,96.0,3.0,100.0,2.0,9.0,0.39399999999999996,0.38299999999999995,0.777,5.96,5.89
343,113.0,杉本　裕太郎,オリックス,0.25,7.0,14.0,12.0,3.0,2.0,8.0,0.0,1.0,1.0,3.0,0.0,0.0,0.35700000000000004,0.833,1.19,10.39,10.35,276.0,杉本　裕太郎,オリックス,0.11800000000000001,9.0,17.0,17.0,2.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,0.11800000000000001,0.353,0.47100000000000003,0.38,0.66,299.0,杉本　裕太郎,オリックス,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.84,-2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
